Username,Title,Content,Rating,Date
Customer,Tesla after must be one of the worst…,Tesla after must be one of the worst company I have dealt with so far .I’ve been trying to get in touch with Finance department for the past 3 months leaving messages to the voice mail and customer service team NO RESPONSE at all .DISGUSTING,1,2024-11-11T08:15:58.000Z
Language Publishing,Stop buying Tesla if you don't want to support Trump the dictator!,"For all you Tesla fans: If you don't want the great dictator Trump to become president, stop buying Tesla cars!!! When Elon Musk donates his gazillion to Trump campaign, you have chipped in as well. You don't want to do that, right?!!!If you work for Tesla, or Twitter or SpaceX, or whatever Musk owns, get yourself a decent job! You deserve something much better.Shame on you Musk! Bet on a big tax reduction by Trump administration? When the dirty money married the dirty politics, that's the end of the American democracy.",1,2024-11-02T11:24:35.000Z
James Cudd,Tesla UK Attempting to Return Car After Diagnosed Steering Failure,"My leased Tesla experienced a complete steering failure while driving on October 19th, nearly causing an accident. The steering fully locked up while the car was in motion and couldn't be 'unlocked' until the car was turned off and on again. What's happened since has revealed deeply concerning practices around Tesla's safety protocols and customer service.The most alarming aspect is this: Tesla's own remote diagnostic system identified a steering rack fault, with the car displaying a ""limited steering may apply"" warning. Yet after two physical inspections, they've claimed they ""couldn't replicate"" the fault and have twice attempted to return the vehicle without any repairs. They even suggested that it might be a 'one off' and if it happens again to undertake a reset on the steering wheel. What if 'it happens again' while driving on a motorway? They're now threatening £40/day storage fees for my refusal to collect a car that their own systems flagged as having a steering issue.This fundamental contradiction between their remote diagnostics and physical inspections remains completely unexplained. How can a car that Tesla's own systems identified as having a fault suddenly be deemed safe for the road without any repairs? This raises serious questions about their safety protocols and diagnostic procedures.Their customer service response has been equally concerning. Safety-critical issues appear to either fall outside their staff's training capabilities or, worse, aren't treated with the gravity they deserve. Responses have been limited to a generic templated email, with no evidence that anyone understands the serious safety implications of returning a vehicle to the road after a diagnosed steering fault.The DVSA is now investigating this safety issue. For a premium brand marketing itself on technology and safety, Tesla's handling of this situation suggests a worrying disconnect between their diagnostic systems, repair protocols, and customer safety. Potential customers should carefully consider whether Tesla has the proper infrastructure and processes to handle serious technical faults before purchase.I am still waiting for a response from them.",1,2024-11-22T20:14:11.000Z
Michael Mullally,Terrible service,"Great car, AWFUL customer service. The car showed delivery in September when I bought it. Then, every day, the 10-day delivery window moved back 1 day. Tesla only has email - no phone number. Email after email after email, no response. Eventually they get back to me and tell me the delay is because of the silver wheels and I can get the car within the week if I went with black. Would have been really helpful if they'd told me that weeks earlier rather than ignoring my communications. They finally give me a delivery date - November 1. The same day I move in to a new house: the main reason I bought the car, and desperately needed the car for that move. Now I've had to spend 4000dkk on a rental car for the move. And still no responses from Tesla, even though they promised to get back to me about compensation. Really, really bad customer support. I choose to lease as I wanted to buy once the new model Y comes out. Now I'll never buy a Tesla based on the terrible service and the staff that just don't care.",1,2024-11-11T16:47:02.000Z
Kis Insurancee,I have 2 Tesla Model S and Model Y 2023,I have 2 Tesla 1: Model S 2 Model YLast night call roadside services for flat tire they open the case and after 1 min none response text closed the case.today I request Roadside service I have flat tire they by text said need to be replaced $468 the car purchase on 07/2023 the tires is only one year old and they haven't come to see the tire and closed the request again and said call your insurance or fix on your own.,1,2024-10-24T01:16:36.000Z
Radu Samson,An honest review of a Tesla Model Y LR '23,"Considering they're censoring all honest reviews, wherever and whenever they can; may this be the only place where one can voice the true value of this ""vehicle"". In short, everything and more of what you hear is true. I've had my Tesla model Y LR for a year now; driven more than 30000km in all sorts of conditions, countries and places. A quick summary: + the interior space is free of annoying buttons, and quite comfortable+ the ability to control everything via the Tesla app, get in and out, preheat/cool the car and share the key with whomever + acceleration - it's now a given for all electric cars but still fun+ tesla charging network, saves you a few minutes on each charge, but most companies are now adapting- Autopilot is a dangerous joke - it's jerky, it tries to kill you on the highway and is in most cases ""out of service"" because one or more cameras are dirty - Windshield wipers: Never in my adult life have I stepped into a car where having to fidget with the wipers has been more needed; in auto mode they'd try and swipe off the light at a traffic light, anything but what they're supposed to. It's clear whoever engineered them hasn't accounted for rain in their calculations- Lights - this is where the other drivers should form some sort of union against being blinded by our tesla's, the light pattern scatters everywhere but where it's supposed to- Paint - in short, there's more and better quality on my toaster. You'll see it right away but there's not much you can do about it- value loss - bought the car the very last days of December, they discounted it by 40000DKK in January ; no message or offer to compensate; Should've prolly just returned it considering the 2 weeks consumer rights thing. - Parking aid - just as autopilot, only trust it if you wanna spend your money fixing the car; the 3D projection is often off and doesn't account for smaller obstacles...as most of the pillars / poles or other things you find in parking lots, the only thing you can use are the cameras. - gaps, it looks like a lego car when you really look into it...- noise insulation is pretty much non existent, you'll be very connected to your surroundings - Drive - over long distances it can be really stressful and tiring for your foot (considering you can't and SHOULD NEVER rely on autopilot - a few trips on the autobahn taught me that the hard way)- ""I hear noises"" - soon enough you start walking the fine line between paranoia and schizophrenia as squeaks start forming around the car- A/C - heating - as you start the system, especially the AC during summer, you'll hear something comparable to someone taking a can opener and trying to can open your hood; a metal on metal scratch that Tesla Service considers ""according to specs / all normal"" ; oh and you can't really turn off the air for your passenger, you can only redirect it...The overall feeling after 1 year of ownership is that I bought into a project/prototype that will never really become anything more. Conclusion, a gigantic ""DON'T BUY"" ! there are other options out there. More so now that it has become a symbol of ignorance and malevolence. P.s. if there are any Tesla competitors out there, I'd be very willing to share a detailed report of the above. They can't be selling all this ""smoke"" without consequences...",1,2024-11-19T14:18:09.000Z
David Brown,I have a Tesla lease,"I have a Tesla lease. When I decided to move provinces I learn that the insurance company needs a form from Tesla Finance to be able to cancel the insurance in the first province. I have been trying to get this from them for 2 months. They won't respond so I'm stuck paying an extra $250 / month in insurance because they won't provide a simple document. No one will respond at all and there is no one to complain to. The only people at Tesla you can contact are sales people to sell you a car. When you need something after that you're on own. Goodbye! I'll never buy a Tesla again - because of the company, not the product",1,2024-11-07T15:39:56.000Z
KJM,Extremely POOR customer support,"First and foremost I love my new Model 3 the car's safety and technology are amazing but please find the time and resources to improve your aftercare, it is appalling! I find it a painful experience even trying to contact Tesla! When I have dealt with their customer support agents they are friendly but hardly ever resolve issues. Whenever I send emails to them they are either slow to reply, don't reply, or I have to deal with another agent. Please address these concerns and improve your appalling customer service!",1,2024-10-18T14:14:17.000Z
Yazan Tk,Bad experience,"I applied to purchase a Tesla in Houston Tx , when I went to pick it up at the Cypress location, I was shocked to find a front bumper damage on the car. Despite multiple requests, they neither replaced the car nor offered any compensation. Later, $300 was deducted as a reservation fee and $50 for insurance without prior notice. After numerous attempts to communicate, the response was entirely unhelpful. This was a disappointing experience, and I recommend thoroughly checking everything before purchasing from this location.”",1,2024-11-07T02:50:09.000Z
Mo,Tesla customer,"Following up on an order, I had to visit Tesla store at Guildford. Oli Zafal was very helpful and took me through options. Still in process of completion, but an excellent customer service has made things much easier.",5,2024-10-11T15:42:00.000Z
hello there,tesla killed a man,my tesla light show made my neighbour have a epilepsy attack.,1,2024-11-19T16:54:58.000Z
Consumer,If I could give zero stars…,If I could give zero stars I would. I am utterly exasperated with Tesla financial services. You simply wait months and months for anyone to get in touch. There is a phone number but you can’t speak to anyone. All you can do is leave a voicemail. It is now October 2024 and I have been waiting since February 2024 for them to answer my issues. Surely this is a breach of contract.,1,2024-10-26T09:55:07.000Z
Pawel Marciniak,Pick up my car after recent tyre…,"Pick up my car after recent tyre replacement, they gave car back with tyre pressure sensor fault - booked another service visit to fix it. Also car came back with damaged rear bumper - full of scratches on pasanger side. Contacted tesla no response!!! Shocking experience",1,2024-10-04T21:57:28.000Z
Harrison,Really bad for the environment!,Really bad for the environment!Li+ mining is far worse for the environment than combustion engines. The Li mines destroy habitats for a profit. IT IS DISGRACEFUL!,1,2024-11-04T15:24:59.000Z
Pebble,Why can’t you just speak to an actual…,Why can’t you just speak to an actual human being and save time rather than spend hours messing around with some stupid app.,1,2024-10-28T12:24:28.000Z
Kevin Dempsey,Shocking Customer Experience,"Shocking Customer ExperienceBuying a new Tesla is like buying a second hand washing machine off the back of a lorry.  Now that proper car manufacturers are producing EV's surely it is start of the end of Tesla.  I don't think I would buy shares in Tesla, here today gone tomorrow",1,2024-10-03T23:42:37.000Z
Chris Foley,Tesla Body Repair Eagle Farm old,"Booked into Tesla Body repair shop in Eagle Farm, for minor repairs , asked who is it insured with answer being Allianz insurance.. then told no we have done our allocations of Allianz so cancelled without the courtesy of a phone call or explanation of their complete disregard for one of their customers. No explanation of what they mean, customer support can't explain yet the repair shop is owned by Tesla",1,2024-10-24T07:27:43.000Z
Anonymouse,It would be decent if he didn’t support Trump.,"Fah!!! I feel like such an old man, but politics decides everything these days. Ya young ‘uns! Seriously. That Musky is cray cray. If not for that, there are a ton of manufacturing issues with the window and the doors, although the models are decent. And it takes a year and a half to get them fixed. GO ON A DIET, MUSKY!",2,2024-10-26T20:18:38.000Z
Shawn Shaw,Instead I writing my frustration I’ll…,"Instead I writing my frustration I’ll just copy and paste my text message I sent;That doesn't make sense you offer financing on you use inventory but don't offer pre approvals. You guys keep sending me links I've exercised already, on top of that I've gotten pre-approved from my bank. Buts it's ok you guys have been very unhelpful when it comes to the used inventory. I've sent out 4 requests on your used cars and not one person called back. I now really understand why people can Love the cars but hate the Customer Service, it's trash. So may you have a great day.And hopefully you understand that even though I not yet a Tesla owner this experience is horrible. More people need to make YouTube video on this so they will be force to improve the area of the company. It’s too easy for them to get away with it because the product is so popular and loved.",1,2024-10-22T20:37:50.000Z
Mahindika Siriwardena,Worst ever car experience,Worst ever car experience.  This is my 7 th PCP car and decided to get a tesla. Paid the deposit and finanliased the funding.  Tesla decided change the configuration.  Removed the despit contribution increased the car price and didn't leave the decency to let me know. I phoned tesla 6 times. Finally they answered and the explanation was sorry we couldn't informed you that your initial deposit have gone up from 5000 to 10000...... we can't do much ....... this is the worst ever ever experience that I have had buy a car...,1,2024-10-05T15:17:40.000Z
Darren Andrews,Rip off,I simply wanted to know if the service history was up to date on my vehicle. However Tesla wont tell you. They wont let you know what a previous owner has had done! So they'll basically charge you for a service appointment even if they know nothing needs doing!! Im gobsmacked. On top of these rip off tactics they have the Worst customer service ever! Unhelpful and abrupt. Not knowledgeable about vehicle issues and read from a script. I'm so gutted. I expected a lot more from this company!! I wouldnt recommend the BRAND or service but love the model x I purchased!,1,2024-10-08T14:27:25.000Z
Karen Maher,Brent Cross collection point is a place…,"Brent Cross collection point is a place where youth and ambition come to die! If anything goes wrong, expect no one to take any responsibility, or be remotely helpful in resolving issues. Staff can barely make eye contact with you to begin with, and when there was a mix up with trading-in my current Tesla- caused by their staff misinforming me - I was treated with contempt, rather than as a customer with any value. In the follow up weeks where I repeatedly had to email a member of staff - Louis Galvani - who was meant to return my key cards to me, I was simply ignored. Aside from using the app, getting in touch with a human to get anything done or raise a complaint is clearly made deliberately difficult and there is no desire to give good customer service, despite the expense of a car to most people. This seems to be their business model, and if this is the future, then count me out. On the back of this experience my new Tesla will be my last and I’ll switch to another electric car provider like BYD, in the hope that they still value their customers.",2,2024-10-17T14:08:07.000Z
Brent Newman,<0 if possible.,"<0 if possible.Ive had 2 mobile tech experiences that went very bad. It would take too long to tell the details, so in a summary they dont have the parts, they were no shows, they had it towed to a service center instead of going to the service center to get the part... and on it went. Very incompetent and didnt care.",1,2024-10-14T22:05:17.000Z
David Grubb,My experiance with tesla sheffield..,My experiance with tesla sheffield..Yes I had a few concerns..Yes I was upset..But.....After a double phone call both from Gary Drummond and Robert Addinall all was solved and dealt with in a very proffesional manner. many bad reviews in regards to customer service on here. I can assure you that this will change. Tesla management went above and beyond to resolve my issues. Also many improvements to be made in regards to comms with customers in regards to estimates and the way the app works. I cannot thank Tesla eneough for putting me at rest after suffering both with anxiaty and a recent heart attack. Thank you to jo and Chris also from the team at sheffield. A very happy customer Mr grubb,5,2024-09-10T13:56:53.000Z
Pete Marshall,Tesla incompetence continues,"You will all hopefully have seen my previous reviews regarding the appalling Customer service provided by Tesla, particularly Tesla Bristol.  After 3 weeks of chasing Tesla to return the £180 they owe me and have got nowhere I have now reported them to Trading Standards and requested a chargeback on my bank account.  Looks like I will be taking them to the small claims court for my refund.I cannot believe how truly awful they are in relation to dealing with Customers when they themselves make mistakes.I regret ever trying to buy a car from this company and in my opinion you should avoid them and seek an alternative manufacturer.I've since bought a fully electric Volvo EX40 which took less than an hour to complete after a very good test drive.",1,2024-10-11T16:38:37.000Z
wonderwilliwon,I have been waiting for 2 month for a…,"I have been waiting for 2 month for a part that my Model Y to be repaired but still I have been told there is no a delivery date for the part. Tesla is a terrible company, I will never ever even consider buying a Tesla again. I will be very happy if I see the day Tesla is bankrupt.",1,2024-10-17T14:09:08.000Z
Arindam suhasaria,Very Poor Customer Service,We took a delivery of a new Model Y and it was full of scratches. Now I am running behind the customer service to get it fixed and getting harassed due to their very poor quality control. How can they deliver a brand new car which was full of scratches all over the body and leaving it to the customer to get it fixed subsequently. They just don't appreciate the value of our time.....Stay away of this Company...,1,2024-10-04T09:11:54.000Z
Mike Harrison,My Powerwall failed three months ago and Nothing from Tesla,"My Powerwall failed three months ago. My warranty claim is stuck in limbo and Tesla customer support won't give me a name or connect me to the warranty department. The repeat that they sent an email to my installer a month ago, ignore that I have copied my installer on all the correspondence and they don't have it. And that's it. No replacement, no way to talk to anybody, and no progress. I wish I could provide zero stars",1,2024-10-07T20:37:21.000Z
Barbara Banck,I just went through the Milton…,"I just went through the Milton Hurricane.  I’m very lucky many suffered far worse.  The worst thing I’ve had to deal with the next Tesla customer service.  I reported A problem with my solar, not working in early September.  It’s still not fixed.  Indicated there be a delay now because of the hurricane.  Next available time they can come help is December 3.  Although they’re innovative, technologically wide, they don’t give a damn about people and their customer service is disgusting.  Be very careful going anywhere near their products!!!  There are minions will lie to you on the phone.  They lie to you about what hours they actually work, Why they don’t pick up their phones, chat services that don’t work.  Their warrantees are worthless unless you’re willing to wait for months for remedies.  Beware beware!!!!",1,2024-10-12T20:48:13.000Z
Eryn,Support Does Not Care,"So there was a huge outage in my area and I guess it affected my software update download. My phone key wasn’t properly connecting, my location and time were not updating, and my unique features and premium connectivity were disabled. I called support and the lady was literally like oh well, I’ll have to schedule you in for a local appointment there’s nothing I can do. Mind you the appointment she scheduled was four days away. I called my local Tesla and they sent a remote update to my car and now it’s working perfectly. I appreciate them, but support did not care at all.",1,2024-09-24T17:32:09.000Z
