Username,Title,Content,Rating,Date,Sentiment_TextBlob,Sentiment_VADER
Pawel Marciniak,Pick up my car after recent tyre,Pick up my car after recent tyre replacement they gave car back with tyre pressure sensor fault booked another service visit to fix it Also car came back with damaged rear bumper full of scratches on pasanger side Contacted tesla no response Shocking experience,1,2024-10-04,-0.13,-0.7745
Harrison,Really bad for the environment,Really bad for the environment Li mining is far worse for the environment than combustion engines The Li mines destroy habitats for a profit IT IS DISGRACEFUL,1,2024-11-04,-0.3,-0.8173
Pebble,Why can t you just speak to an actual,Why can t you just speak to an actual human being and save time rather than spend hours messing around with some stupid app,1,2024-10-28,-0.26666666666666666,-0.0516
Kevin Dempsey,Shocking Customer Experience,Shocking Customer ExperienceBuying a new Tesla is like buying a second hand washing machine off the back of a lorry Now that proper car manufacturers are producing EV's surely it is start of the end of Tesla I don't think I would buy shares in Tesla here today gone tomorrow,1,2024-10-03,-0.06060606060606061,0.7964
Chris Foley,Tesla Body Repair Eagle Farm old,Booked into Tesla Body repair shop in Eagle Farm for minor repairs asked who is it insured with answer being Allianz insurance then told no we have done our allocations of Allianz so cancelled without the courtesy of a phone call or explanation of their complete disregard for one of their customers No explanation of what they mean customer support can't explain yet the repair shop is owned by Tesla,1,2024-10-24,-0.08750000000000001,-0.7598
Anonymouse,It would be decent if he didn t support Trump,Fah I feel like such an old man but politics decides everything these days Ya young uns Seriously That Musky is cray cray If not for that there are a ton of manufacturing issues with the window and the doors although the models are decent And it takes a year and a half to get them fixed GO ON A DIET MUSKY,2,2024-10-26,-0.004761904761904757,-0.0772
Shawn Shaw,Instead I writing my frustration I ll,Instead I writing my frustration I ll just copy and paste my text message I sent That doesn't make sense you offer financing on you use inventory but don't offer pre approvals You guys keep sending me links I've exercised already on top of that I've gotten pre approved from my bank Buts it's ok you guys have been very unhelpful when it comes to the used inventory I've sent out 4 requests on your used cars and not one person called back I now really understand why people can Love the cars but hate the Customer Service it's trash So may you have a great day And hopefully you understand that even though I not yet a Tesla owner this experience is horrible More people need to make YouTube video on this so they will be force to improve the area of the company It s too easy for them to get away with it because the product is so popular and loved,1,2024-10-22,0.241025641025641,0.9864
Mahindika Siriwardena,Worst ever car experience,Worst ever car experience This is my 7 th PCP car and decided to get a tesla Paid the deposit and finanliased the funding Tesla decided change the configuration Removed the despit contribution increased the car price and didn't leave the decency to let me know I phoned tesla 6 times Finally they answered and the explanation was sorry we couldn't informed you that your initial deposit have gone up from 5000 to 10000 we can't do much this is the worst ever ever experience that I have had buy a car,1,2024-10-05,-0.3833333333333333,-0.8048
Darren Andrews,Rip off,I simply wanted to know if the service history was up to date on my vehicle However Tesla wont tell you They wont let you know what a previous owner has had done So they'll basically charge you for a service appointment even if they know nothing needs doing Im gobsmacked On top of these rip off tactics they have the Worst customer service ever Unhelpful and abrupt Not knowledgeable about vehicle issues and read from a script I'm so gutted I expected a lot more from this company I wouldnt recommend the BRAND or service but love the model x I purchased,1,2024-10-08,0.013541666666666674,0.6243
Karen Maher,Brent Cross collection point is a place,Brent Cross collection point is a place where youth and ambition come to die If anything goes wrong expect no one to take any responsibility or be remotely helpful in resolving issues Staff can barely make eye contact with you to begin with and when there was a mix up with trading in my current Tesla caused by their staff misinforming me I was treated with contempt rather than as a customer with any value In the follow up weeks where I repeatedly had to email a member of staff Louis Galvani who was meant to return my key cards to me I was simply ignored Aside from using the app getting in touch with a human to get anything done or raise a complaint is clearly made deliberately difficult and there is no desire to give good customer service despite the expense of a car to most people This seems to be their business model and if this is the future then count me out On the back of this experience my new Tesla will be my last and I ll switch to another electric car provider like BYD in the hope that they still value their customers,2,2024-10-17,0.005080213903743312,-0.2635
Brent Newman,0 if possible,0 if possible Ive had 2 mobile tech experiences that went very bad It would take too long to tell the details so in a summary they dont have the parts they were no shows they had it towed to a service center instead of going to the service center to get the part and on it went Very incompetent and didnt care,1,2024-10-14,-0.2691666666666666,-0.9004
David Grubb,My experiance with tesla sheffield,My experiance with tesla sheffield Yes I had a few concerns Yes I was upset But After a double phone call both from Gary Drummond and Robert Addinall all was solved and dealt with in a very proffesional manner many bad reviews in regards to customer service on here I can assure you that this will change Tesla management went above and beyond to resolve my issues Also many improvements to be made in regards to comms with customers in regards to estimates and the way the app works I cannot thank Tesla eneough for putting me at rest after suffering both with anxiaty and a recent heart attack Thank you to jo and Chris also from the team at sheffield A very happy customer Mr grubb,5,2024-09-10,0.1444444444444445,0.9157
Pete Marshall,Tesla incompetence continues,You will all hopefully have seen my previous reviews regarding the appalling Customer service provided by Tesla particularly Tesla Bristol After 3 weeks of chasing Tesla to return the 180 they owe me and have got nowhere I have now reported them to Trading Standards and requested a chargeback on my bank account Looks like I will be taking them to the small claims court for my refund I cannot believe how truly awful they are in relation to dealing with Customers when they themselves make mistakes I regret ever trying to buy a car from this company and in my opinion you should avoid them and seek an alternative manufacturer I've since bought a fully electric Volvo EX40 which took less than an hour to complete after a very good test drive,1,2024-10-11,-0.09458333333333335,-0.7195
wonderwilliwon,I have been waiting for 2 month for a,I have been waiting for 2 month for a part that my Model Y to be repaired but still I have been told there is no a delivery date for the part Tesla is a terrible company I will never ever even consider buying a Tesla again I will be very happy if I see the day Tesla is bankrupt,1,2024-10-17,0.0,-0.7477
Arindam suhasaria,Very Poor Customer Service,We took a delivery of a new Model Y and it was full of scratches Now I am running behind the customer service to get it fixed and getting harassed due to their very poor quality control How can they deliver a brand new car which was full of scratches all over the body and leaving it to the customer to get it fixed subsequently They just don't appreciate the value of our time Stay away of this Company,1,2024-10-04,0.01277272727272726,-0.8803
Mike Harrison,My Powerwall failed three months ago and Nothing from Tesla,My Powerwall failed three months ago My warranty claim is stuck in limbo and Tesla customer support won't give me a name or connect me to the warranty department The repeat that they sent an email to my installer a month ago ignore that I have copied my installer on all the correspondence and they don't have it And that's it No replacement no way to talk to anybody and no progress I wish I could provide zero stars,1,2024-10-07,-0.5,-0.6179
Barbara Banck,I just went through the Milton,I just went through the Milton Hurricane I m very lucky many suffered far worse The worst thing I ve had to deal with the next Tesla customer service I reported A problem with my solar not working in early September It s still not fixed Indicated there be a delay now because of the hurricane Next available time they can come help is December 3 Although they re innovative technologically wide they don t give a damn about people and their customer service is disgusting Be very careful going anywhere near their products There are minions will lie to you on the phone They lie to you about what hours they actually work Why they don t pick up their phones chat services that don t work Their warrantees are worthless unless you re willing to wait for months for remedies Beware beware,1,2024-10-12,-0.060925925925925925,-0.9334
Eryn,Support Does Not Care,So there was a huge outage in my area and I guess it affected my software update download My phone key wasn t properly connecting my location and time were not updating and my unique features and premium connectivity were disabled I called support and the lady was literally like oh well I ll have to schedule you in for a local appointment there s nothing I can do Mind you the appointment she scheduled was four days away I called my local Tesla and they sent a remote update to my car and now it s working perfectly I appreciate them but support did not care at all,1,2024-09-24,0.1638888888888889,0.794
Michelle Crowther,Customer Service Manchester,Having taken delivery of our Y model recently I felt the need to acknowledge the great service we received The salesperson dealing with us went out of his way to resolve the ongoing technical issues we were experiencing when trying to purchase the car through the Tesla app However having not been able to resolve this in the end we had to complete all the relevant forms the old fashioned way via email Rueben discovered the issues were not with the Tesla but with the finance company's system Rueben Callau spent time trying his best to help resolve these issues Without his help we would have simply given up on the purchase Thanks for going over and above Reuben,5,2024-08-21,0.25000000000000006,0.9631
Volkan engüller,After I ordered my new car,After I ordered my new car the referral campaign started I wanted to participate without taking delivery of my car A Tesla official called and offered to give it to me as Tesla credit without participating in the campaign I accepted this offer but they have now refused to deposit the money My advice Don't rely on verbal conversations with Tesla Ask for written confirmation,2,2024-09-23,0.13636363636363635,-0.1154
Hannah Catley,How do they get away with stealing from people,They took 2 months to organise financing on a used car when I came to my senses and cancelled my order they immediately ghosted me not a single person has been in contact with me to confirm the cancellation or the refund of my 5000 It s been 2 months and still no contact their customer service is non existent How does such a big and well known company get away with stealing from people,1,2024-10-09,0.011904761904761904,-0.7003
Anony Mouse,Bought a used Model X and love it,Bought a used Model X and love it Minimal unexpected maintenance costs Regular updates on the app App contact informative helpful and timely Service appointments in Scotland are not as great as the Exceptional Milton Keynes Branch I wish there was a Service Centre in Inverness And if they put one there to make it as good as the Milton Keynes Branch Arnold Clark s Arnold Shark as its lovingly described in Inverness market share would go down the toilet An Inverness Tesla Service Centre would save me having to drive to Milton Keynes to get my car serviced which admittedly is not very often The only niggle I wish there were more multiple Tesla charge points in Scotland Fraserburgh Elgin Golspie Wick and Ullapool They would be the locations which would destroy the awful CPS Swarco offering in one swoop Love you Tesla Please please please lobby the Government to get rid of Swarco and get the funding you need to create or add to your Awesome charging infrastructure in Scotland,5,2024-09-14,0.20987654320987656,0.9842
Rhys Whalley Miller,Worst customer service Cars good,Cars good Customer service terrible Trying to get into contact impossible Was sold a 185 speaker for my car which it always has the technician was shocked I was sold it and they refused to return it,2,2024-10-08,-0.41666666666666663,-0.5719
Anne,I join the majority of reviewers in,I join the majority of reviewers in reporting on terrible Tesla service or lack thereof today I have a slow leak in a tire First the roadside service part of the app didn t work The confirm location button froze and I could never get through Second the regular service section of the app said that it would be 17 DAYS before I could get an appointment to repair or replace the tire Finally I eventually got a phone number for my local dealership s service bay to seek help with the roadside problem and never got a call back Tesla service is disastrous and this car will be gone as soon as possible Unfortunately and understandably no one is going to want it,1,2024-09-22,-0.20454545454545456,-0.91
A Hamza,Excellent customer service,Excellent customer service in the Birmingham UK branch Made to feel very welcomed and given the opportunity to test drive even after being informed that I was using a salary sacrifice scheme Jasmine was very knowledgeable and gave us the respect time and space required to make a decision Ordered the car this week Keep up the good work Jasmine a great testament to the company Well done for hiring this one Tesla Keep it up,5,2024-06-23,0.5799999999999998,0.9657
SuperiorLux Property,Not worth the overall cost,The repair costs are not worth the purchase If at any point you need to deal with Tesla Service IN CT at least you will severely and thoroughly regret ever buying a Tesla The car itself is great but when it breaks it costs more than an entire used car Literally and anyone that disagrees I have the receipts to prove it The cars may be sexy fast efficient but overall all said and done pound for pound adding up all of the time you spend charging and repair costs my final answer is no not worth it I basically spent over 100 000 on what is essentially equivalent to a 20 000 value I do not recommend I would not recommend and I will NOT be purchasing another Tesla in the future I was under the impression that the longer a vehicle is in production the cheaper the parts would get I am wrong They go up,1,2024-10-14,0.05714285714285715,-0.1457
WinDor,AVOID Shocking Tesla Service,Tesla Service Experience Frustration with Sheffield CentreI loved driving my 2021 Tesla M3P with 25k miles and an aftermarket aero kit until I needed service at the Sheffield Centre 1st visit early July No work done but both front wings were scratched 2nd visit July Held my car for four weeks failed to secure panels didn t fix their scratches as promised and broke my front splitter which I was going to remove but tesla advised against it apologised and promised to 'put it right' then they refused to cover repair costs on the quote they requested 3rd visit Sep They removed and discarded my custom T badge without approval saying replacements were cheap no apology given My splitter repair is still in dispute with no response It's a shame as I really enjoy driving the car Note to Tesla time for you to recognise the existence of your customers Sorry I can't rate you less,1,2024-10-02,0.10173160173160171,-0.9302
Cavan Hadley,I have a 2019 Tesla model three with,I have a 2019 Tesla model three with 65 000 miles and it won t even get 150 miles on 100 charge This thing is a lemon,1,2024-11-16,0.0,0.5719
Consumer,Appalling customer service,I have leased a Tesla 3 and decided to hand it back a year early due to my circumstances changing I contacted Tesla finance by email and eventually following several emails later they replied and said I needed to pay a certain amount to be able to hand it back This I have done and sent several emails to confirm this has been done and also left a number of voicemails as you can t actually speak to anyone about it I am still waiting to receive instructions about how to hand it in Disgusting customer service I will not be recommending anyone leasing a Tesla and certainly won t be purchasing another one,1,2024-09-03,-0.006887755102040817,0.9231
Martin Noon,Worst service,Worst service No way to actually communicate with the service centre correctly Messages either delayed ignored or answered incorrectly Kept my car for 4 days Then messaged 4 days later saying come and collect We did not fit the part because it's scratched please book another appointment App is very buggy for service items,1,2024-07-21,-0.2,-0.8523
Muhammad Ismail Greg Robinson,After reading Tesla thank for for destroying our planet,After reading Tesla thank for destroying our planet and Elon denial about the fact he can t dispose of the batteries and if using he s been talking rubbish it takes certain types of foam to put them burning,1,2024-10-26,0.007142857142857131,0.0
Margaret,tesla is not living up to their promise have requested the promised refund on,I have requested the promised refund on the cybertruck reservation deposit twice and haven't received even an acknowledgement How do I get my promised 100 back,1,2024-10-31,0.0,0.6124
BODY SHOP,A Body shop repair bad Experience with tesla,We are an auto Body shop repair business and we work with different insurance companies I wanted to make this review because we have had to deal with Tesla dealer and insurance services and according to the experience we have had it is the worst insurance company we have been able to work with when it comes to handling a vehicle claims damage and you want to get in contact with someone big surprise is that no one answers their phones no one returns calls or emails vehicle can be seating at the shop for months waiting on approvals for repair and no one answer or email back it is very stressful and frustrating So if you haven't experienced this problem yet you probably will For those of you who are thinking about getting this insurance or a tesla at all please do your research because you are in for a big surprise if you dont,1,2024-10-04,0.01111111111111112,-0.9515
David Thompson,Absolutely awful customer service,Absolutely awful customer service takes around 2 weeks to reply to an email absolutely impossible to get hold of a human on the phone I will never buy a Tesla again,1,2024-10-04,-0.5555555555555555,-0.5095
Cary,Abhorrent Customer Service,Tesla has morphed into this app oriented company that is oblivious to honest and good customer service I had a 2021 MY lease I was sent a text message through their app that if I returned my car early I would receive incentives waive 2 months of lease payments and a 750 credit toward Teslas products The fine print that wasn't disclosed was that I had to do that within one week I started the process texted them back with an acceptance text DAYS later I receive a text that had a date scheduled for me to drop off the car Coincidentally I purchased a new 2024 MY which I was hoping to pick up at the same time Unbeknownst to me picking up my new MY was in a different city 200 km away from the Tesla dealership where I dropped off my lease In the meantime trying to schedule my drop off and pickup was a nightmare Tesla has no phone numbers where one can talk to a human to sort this out As it Turned out the scheduling did not happen within the week They did not honor their incentives because I was late beyond the one week in completing the deal Can you believe it They choke all their communication so customers have limited if any ability to communicate with a human to sort out these situations And when this extends the deals beyond their arbitrary deadlines they renege on their incentives They are the WORST Even though I now drive a Tesla I am recommending that people that want to drive an EV go elsewhere Save yourself the aggravation of dealing with these thieves,1,2024-10-25,0.03862283549783549,0.3896
Leo James,Brought my model x to tesla for a tire,Brought my model x to tesla for a tire rotation and tesla never informed me that the although the tires were 6 32nds in the rear there were massive shoulder damage on the inner portion of the tire yet they still performed a rotation They easily dismissed my concern and will not address the concern which may be an alignment at the time of rotation,1,2024-09-26,0.14444444444444446,-0.2023
Consumer,Dreadful Customer Service,Dreadful Customer Service It took and incompetent uncaring team 3 weeks to fix my motor with only 21000 miles done The Sales staff were rude obnoxious to boot Don t by a Tesla They can t or can t be bothered with repairs Buy BYD instead I don t think they can be worse US is dead too,1,2024-09-27,-0.37500000000000006,-0.967
Mette Olesen,Tesla has terrible customer service,I have had Teslas since they first came out I love the car BUT the business model has evolved over time into a very poor experience as a customer One month after I bought my last car they dropped the price twenty percent They also charged for the power cord and started charging for the use of super chargers The standard rims for the Model3 are terrible But worst of all they do not have customer service beyond an app interface If you value good customer service do not buy a TESLA,2,2024-07-01,-0.08185185185185187,-0.3998
Alessandro Pontes,It s been frustrating,I purchased a used certified pre owned vehicle from Tesla expecting a high standard of quality given the description that the car had undergone a thorough inspection Unfortunately the reality has been quite the opposite From the moment I took ownership I found myself performing the inspections identifying issues that should have been addressed beforehand Despite multiple attempts to resolve these problems with my local Tesla service center I am now scheduling my third visit in just three months On top of this the battery range has been another significant disappointment Tesla s commercial team presented me with a range far above what the vehicle actually delivers which is now showing only 75 of the promised total This has been a frustrating experience far from the quality and reliability Tesla claims to provide with their certified vehicles,1,2024-10-24,-0.019210526315789473,-0.5574
Qwerty,Tesla rubbish,If there was 0 star that would be appropriate Most overrated car ever thanks to free media publicity Tesla gets not sure to help boost their share price Yet reality is Tesla is nothing but rubbish in my honest opinion Thank God Chinese BYD and others have delivered some great electric cars I wouldn't be surprised if Tesla goes bankrupt in the next few years Do your research even the so called Cyber truck is the same I heard Door happens come off if you shut the door with force,1,2024-08-08,0.22083333333333333,0.9266
guardsman,Feel bitterly disappointed,Feel bitterly disappointed by the level of service from tesla I was emailed a delivery date for my new car After taking time off to recieve the delivery and waiting sometime I emailed the advisor to be told my car was reallocated and that car would not be delivered After I wrote to them again three times before even getting a reply This has ruined my thoughts on this car and I am extremely worried about the level of service I will recieve if I ever get the car,1,2024-09-04,-0.24621212121212122,-0.8932
K Smout,Appalling customer service,All the money you pay and you get treated like a mug We were frustrated enough that we needed to make a 140 mile round trip to pick up a car for an employee we've always had company cars delivered before but we didn't buy direct from Tesla before We had to place an order thro the website which isn't great to navigate then pre agreed a delivery date to align with existing car lease ending this itself a pain because you can only agree the date a few weeks before Then at the 11th hour Tesla and ALD their finance Co fail to communicate with each other and as a result the delivery day is changed We now have to take off more time change the insurance arrangements and that's before we get there and experience the 'light touch' handover which I've not heard good things about Never again will we buy a Tesla regretting this purchase before we've even got the car We're a small business and the whole process has been inflexible and cost us time and consequently money,1,2024-09-11,0.02166666666666667,-0.952
ENC,Hard rattle and squeak,Tesla Y experience after one year summarised Good Supercharger network Autopilot Ability to precondition cabin Integration with Apple Music Spotify etc Bad Constant rattles and squeaks that Tesla has tried but failed to fix and undermine otherwise silent driving Ridiculously hard suspension for UK roads The ride basically feels cheap If driving long holidays supercharger network still gives Tesla the edge If not higher quality softer rides exist,3,2024-06-10,-0.06296296296296294,-0.802
